year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice
2012,Kia,Soul,+,Wagon,automatic,ne,4.0,53070.0,gray,black,10100
2012,Honda,Civic,LX,Sedan,automatic,ga,2.6,45085.0,gray,gray,10300
2014,Ford,Fusion,SE,Sedan,automatic,fl,4.3,19383.0,silver,beige,13800
2012,Chevrolet,Cruze,1LT,Sedan,automatic,nc,3.6,96074.0,red,gray,9000
2013,Honda,Civic,LX,Coupe,manual,ca,2.5,22562.0,silver,gray,10800
2014,,,,,,on,3.8,22763.0,blue,black,22200
2013,Toyota,Sienna,SE 8-Passenger,Minivan,automatic,ga,3.7,45907.0,gray,black,22200
2013,Chevrolet,Cruze,1LT,Sedan,automatic,az,3.8,32126.0,black,black,11700
2012,Toyota,RAV4,Base,SUV,automatic,fl,4.7,23048.0,white,beige,17300
2014,Chrysler,Town and Country,Touring,Minivan,automatic,fl,4.0,28775.0,gold,black,19600
2012,Acura,TSX,Base,Sedan,,pa,3.8,27585.0,white,black,17500
2014,Ford,Mustang,V6,convertible,automatic,il,4.5,28012.0,black,black,20600
2011,BMW,X3,xDrive28i,suv,automatic,ga,4.5,49004.0,blue,tan,23800
2013,Dodge,Journey,SXT,suv,automatic,in,3.7,34261.0,red,black,13400
2012,Hyundai,Veloster,Base,hatchback,,pa,3.7,44843.0,black,gray,12800
2011,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,tx,3.3,124178.0,white,black,10200
2011,Ford,F-150,XL,supercab,,co,2.8,117608.0,white,gray,10700
2013,GMC,Yukon XL,SLT 1500,SUV,automatic,fl,4.1,45815.0,black,black,32500
2012,BMW,X3,xDrive28i,SUV,automatic,ga,5.0,70375.0,gray,beige,21800
2012,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,fl,3.4,76867.0,white,gray,11000
2012,Nissan,Sentra,2.0 SR,sedan,automatic,fl,3.7,22231.0,white,gray,9400
2012,Nissan,Rogue,S,SUV,automatic,pa,4.3,36393.0,blue,black,14200
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,fl,2.8,40209.0,black,black,16400
2012,Lexus,GX 460,Premium,suv,automatic,fl,4.1,63912.0,burgundy,gray,34800
2012,Nissan,Altima,2.5 S,Sedan,automatic,tx,4.0,27080.0,gray,black,13000
2013,Mazda,Mazda3,i Sport,Sedan,automatic,il,2.8,54113.0,gray,black,9600
2013,Volkswagen,Tiguan,SE,SUV,automatic,il,5.0,8549.0,gray,black,16600
2012,Honda,Civic,EX,Sedan,automatic,il,4.4,27907.0,silver,gray,12700
2013,Nissan,Altima,2.5,Sedan,automatic,mn,4.2,55214.0,gray,black,11600
