Make_ID,Make_Name,Model_ID,Model_Name
474,HONDA,1861,Accord
474,HONDA,1863,Civic
474,HONDA,1864,Pilot
474,HONDA,1865,CR-V
474,HONDA,1866,Ridgeline
474,HONDA,1869,Odyssey
474,HONDA,1870,Insight
474,HONDA,2127,Fit
474,HONDA,3249,Gold Wing
474,HONDA,3251,NC700X
474,HONDA,3252,Metropolitan
474,HONDA,3253,NPS50 (Ruckus)
474,HONDA,3264,ST1300
474,HONDA,3474,Elite 80
474,HONDA,3567,Elite 50
474,HONDA,3618,Pacific Coast
474,HONDA,3684,Hawk GT
474,HONDA,3695,CB-1
474,HONDA,3696,Elite 250
474,HONDA,3697,Tourist Trophy
474,HONDA,3698,NS50F
474,HONDA,3699,NX250
474,HONDA,3700,NX125
474,HONDA,3703,RC30
474,HONDA,3705,XL600V
474,HONDA,5959,Passport
474,HONDA,9212,HR-V
474,HONDA,10960,CR250R
474,HONDA,11408,CR125R
474,HONDA,11409,XR250R
474,HONDA,11588,TRX90X
474,HONDA,11589,XR600R
474,HONDA,11658,NC700JD (NM4)
474,HONDA,11689,FourTrax Rancher
474,HONDA,11718,TRX420
474,HONDA,11728,FourTrax Foreman
474,HONDA,11756,FourTrax Rincon
474,HONDA,11762,NSS300 (Forza)
474,HONDA,11796,Cota 4RT 260
474,HONDA,11819,NC750X
474,HONDA,11835,TRX250X
474,HONDA,11837,FourTrax Recon
474,HONDA,11975,CBR1000F
474,HONDA,12058,VT750 (Shadow Aero 750)
474,HONDA,12132,VT750 (Shadow Phantom 750)
474,HONDA,12573,CR80R
474,HONDA,12575,XR80R
474,HONDA,12651,CR500R
474,HONDA,12663,Z50R
474,HONDA,14249,Clarity
474,HONDA,14865,CB125
474,HONDA,27839,FourTrax Foreman Rubicon
474,HONDA,27889,Cota 300RR
474,HONDA,27897,SXS1000M (Pioneer 1000)
474,HONDA,27898,SXS700M (Pioneer 700)
474,HONDA,27899,SXS500M (Pioneer 500)
474,HONDA,28850,Monkey
474,HONDA,29619,PCX
474,HONDA,31535,Civic Type R
474,HONDA,33259,CRF230F
474,HONDA,33279,CRF125F
474,HONDA,33281,CRF150F
474,HONDA,33282,CRF150R
474,HONDA,33285,CRF250L
474,HONDA,33286,CRF250R
474,HONDA,33287,CRF250X
474,HONDA,33288,CRF50F
474,HONDA,33289,CRF110F
474,HONDA,33290,CRF450R
474,HONDA,33291,CRF450X
474,HONDA,33292,CRF250RX
474,HONDA,33293,CRF250F
474,HONDA,33294,CRF450RX
474,HONDA,33310,CRF450RL
474,HONDA,33319,CRF450L
474,HONDA,33499,XR650L
474,HONDA,33503,CBR600RR
474,HONDA,33505,CBR500R
474,HONDA,33508,CB500F
474,HONDA,33510,CB500X
474,HONDA,33515,CBR1000RR
474,HONDA,33518,CB1000R
474,HONDA,33524,CBR300R
474,HONDA,33535,CB300R
474,HONDA,33536,CBR650R
474,HONDA,33537,CB650R
474,HONDA,34886,Cota 4RT 301RR
474,HONDA,35229,Africa Twin
474,HONDA,35230,Fury
474,HONDA,36706,Giorno
474,HONDA,36707,Foreman
474,HONDA,36708,Rubicon
474,HONDA,36711,Foreman Rubicon
474,HONDA,36712,Rancher
474,HONDA,36713,Recon
474,HONDA,36714,Rincon
474,HONDA,36953,Rebel 300
474,HONDA,36954,Rebel 500
474,HONDA,37126,Gold Wing Tour
474,HONDA,37127,Grom
474,HONDA,37131,Super Cub C125
474,HONDA,37132,Africa Twin Adventure Sports
474,HONDA,37133,SXS1000S (Talon 1000)
474,HONDA,37149,CBR600F
474,HONDA,37544,VTR250 (Interceptor 250)
474,HONDA,37555,VF750 (Interceptor 750)
